[2025-04-03T17:56:33.542+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: Web_Log_Processing.generate_star_schema manual__2025-04-03T17:56:15.643112+00:00 [queued]>
[2025-04-03T17:56:33.553+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: Web_Log_Processing.generate_star_schema manual__2025-04-03T17:56:15.643112+00:00 [queued]>
[2025-04-03T17:56:33.554+0000] {taskinstance.py:2170} INFO - Starting attempt 1 of 4
[2025-04-03T17:56:33.574+0000] {taskinstance.py:2191} INFO - Executing <Task(PythonOperator): generate_star_schema> on 2025-04-03 17:56:15.643112+00:00
[2025-04-03T17:56:33.580+0000] {standard_task_runner.py:60} INFO - Started process 1536 to run task
[2025-04-03T17:56:33.584+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'Web_Log_Processing', 'generate_star_schema', 'manual__2025-04-03T17:56:15.643112+00:00', '--job-id', '16', '--raw', '--subdir', 'DAGS_FOLDER/w3c.py', '--cfg-path', '/tmp/tmpnjgrh2kd']
[2025-04-03T17:56:33.586+0000] {standard_task_runner.py:88} INFO - Job 16: Subtask generate_star_schema
[2025-04-03T17:56:33.665+0000] {task_command.py:423} INFO - Running <TaskInstance: Web_Log_Processing.generate_star_schema manual__2025-04-03T17:56:15.643112+00:00 [running]> on host 9b170102d235
[2025-04-03T17:56:33.946+0000] {taskinstance.py:2480} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='Web_Log_Processing' AIRFLOW_CTX_TASK_ID='generate_star_schema' AIRFLOW_CTX_EXECUTION_DATE='2025-04-03T17:56:15.643112+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-04-03T17:56:15.643112+00:00'
[2025-04-03T17:56:39.419+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 205.151.118.95: 401
[2025-04-03T17:56:39.486+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 124.115.1.7: 401
[2025-04-03T17:56:39.554+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 77.88.43.25: 401
[2025-04-03T17:56:39.622+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 66.249.65.43: 401
[2025-04-03T17:56:39.695+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 67.195.113.235: 401
[2025-04-03T17:56:39.761+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 114.80.93.56: 401
[2025-04-03T17:56:39.832+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 208.115.111.242: 401
[2025-04-03T17:56:39.901+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 207.46.204.229: 401
[2025-04-03T17:56:39.976+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 207.46.199.184: 401
[2025-04-03T17:56:40.047+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 123.125.66.78: 401
[2025-04-03T17:56:40.116+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 220.181.7.71: 401
[2025-04-03T17:56:40.193+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 207.46.13.133: 401
[2025-04-03T17:56:40.266+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 112.203.232.198: 401
[2025-04-03T17:56:40.337+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 174.129.160.156: 401
[2025-04-03T17:56:40.401+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 123.125.66.134: 401
[2025-04-03T17:56:40.468+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 220.181.7.93: 401
[2025-04-03T17:56:40.546+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 90.189.148.126: 401
[2025-04-03T17:56:40.617+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 78.172.9.79: 401
[2025-04-03T17:56:40.691+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 123.125.66.123: 401
[2025-04-03T17:56:40.758+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 220.181.7.64: 401
[2025-04-03T17:56:40.829+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 124.120.153.226: 401
[2025-04-03T17:56:40.896+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 95.108.158.242: 401
[2025-04-03T17:56:40.968+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 95.131.64.134: 401
[2025-04-03T17:56:41.037+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 80.176.84.62: 401
[2025-04-03T17:56:41.109+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 123.125.66.73: 401
[2025-04-03T17:56:41.177+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 220.181.7.75: 401
[2025-04-03T17:56:41.250+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 186.42.4.43: 401
[2025-04-03T17:56:41.317+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 123.125.66.61: 401
[2025-04-03T17:56:41.386+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 220.181.7.91: 401
[2025-04-03T17:56:41.461+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 65.52.49.75: 401
[2025-04-03T17:56:41.534+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 123.125.66.88: 401
[2025-04-03T17:56:41.610+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 220.181.7.92: 401
[2025-04-03T17:56:41.883+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 66.249.65.50: 401
[2025-04-03T17:56:41.957+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 124.115.0.162: 401
[2025-04-03T17:56:42.020+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 65.52.49.77: 401
[2025-04-03T17:56:42.091+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 124.115.0.161: 401
[2025-04-03T17:56:42.165+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 124.115.0.159: 401
[2025-04-03T17:56:42.233+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 124.115.0.158: 401
[2025-04-03T17:56:42.308+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 124.115.4.204: 401
[2025-04-03T17:56:42.381+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 124.115.4.205: 401
[2025-04-03T17:56:42.453+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 124.115.0.140: 401
[2025-04-03T17:56:42.526+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 124.115.0.169: 401
[2025-04-03T17:56:42.595+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 124.115.0.168: 401
[2025-04-03T17:56:42.671+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 114.80.93.73: 401
[2025-04-03T17:56:42.956+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 124.115.0.17: 401
[2025-04-03T17:56:43.024+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 124.115.0.18: 401
[2025-04-03T17:56:43.115+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 123.125.66.127: 401
